slug,label,street_view_url,latitude,longitude,desactivar,status,last_downloaded_at,last_error
juana-moro-4717-066-121-003,Juana Moro 4717,"https://www.google.com/maps/@-34.67319943053896,-58.46109220227998,3a,75y,318.3h,90t/data=!3m6!1e1!3m4!1sE3LmRffCGWKUWahUO8pykg!2e0!7i16384!8i8192",-34.67305869,-58.46124465,x,,,
gral-jose-gervasio-artigas-367-065-073-008,Gral. Jose Gervasio Artigas 367,"https://www.google.com/maps/@-34.6260283,-58.4655286,3a,85.2y,110h,113.29t/data=!3m7!1e1!3m5!1syecFMWDEtKe7bIYJ_QizNA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-23.28935916877458%26panoid%3DyecFMWDEtKe7bIYJ_QizNA%26yaw%3D109.99829437102123!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.62600404,-58.46505644,,,,
juana-moro-4751-066-121-002,Juana Moro 4751,"https://www.google.com/maps/@-34.67339715046565,-58.46132069975994,3a,75y,303.05h,90t/data=!3m6!1e1!3m4!1sACndevzt-z_J8x7KrqaFiQ!2e0!7i16384!8i8192",-34.67328819,-58.46152431,x,,,
frida-kahlo-5059-066-110-001,Frida Kahlo 5059,"https://www.google.com/maps/@-34.67594093083331,-58.46437083199636,3a,75y,125.42h,90t/data=!3m6!1e1!3m4!1sOjb2IjbWvhCw9newxSqWpw!2e0!7i16384!8i8192",-34.67607616,-58.46413961,x,,,
juana-moro-4865-066-120-001,Juana Moro 4865,"https://www.google.com/maps/@-34.67425103819168,-58.4627464019265,3a,75y,51.93h,90t/data=!3m6!1e1!3m4!1szB0zrOlnXKt3s3fUXz5G4A!2e0!7i16384!8i8192",-34.67412245,-58.46254679,x,,,
juana-moro-4768-066-114-001,Juana Moro 4768,"https://www.google.com/maps/@-34.67379645796699,-58.46103514331595,3a,75y,321.01h,90t/data=!3m6!1e1!3m4!1sIqShEn03_Ky7vX0f5sN11w!2e0!7i16384!8i8192",-34.67365598,-58.46117342,x,,,
frida-kahlo-4721-066-114-002,Frida Kahlo 4721,"https://www.google.com/maps/@-34.67352137298383,-58.46072066617737,3a,75y,320.1h,90t/data=!3m6!1e1!3m4!1sNFWh_sLeMdF_yVKcjqTt7w!2e0!7i16384!8i8192",-34.67339302,-58.46085114,x,,,
calle-sin-nombre-oficial-4362-066-094-001,Calle Sin Nombre Oficial 4362,"https://www.google.com/maps/@-34.67679644076539,-58.46455220648456,3a,75y,128.71h,90t/data=!3m6!1e1!3m4!1se7VBB5Y6MKIsIfCIP-6tfA!2e0!7i16384!8i8192",-34.67690821,-58.46438264,x,,,
congreso-av-4944-053-006-004,Congreso Av. 4944,"https://www.google.com/maps/@-34.5688476,-58.4885287,3a,75y,127.86h,110.78t/data=!3m7!1e1!3m5!1s6PqHFuU7Bo7uHqJusAKdaA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-20.78144612930309%26panoid%3D6PqHFuU7Bo7uHqJusAKdaA%26yaw%3D127.86156195385556!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.56907509,-58.48824158,,,,
french-2757-015-109-019,French 2757,"https://www.google.com/maps/@-34.58894132806962,-58.40247466058354,3a,75y,37.74h,90t/data=!3m6!1e1!3m4!1sjlttGoD5odi7f1_31KxRqw!2e0!7i16384!8i8192",-34.58871792,-58.40226462,,,,
juan-bautista-av-alberdi-2776-048-063-010,Juan Bautista Av. Alberdi 2776,"https://www.google.com/maps/@-34.63280896533565,-58.46686192508312,3a,75y,157.68h,90t/data=!3m6!1e1!3m4!1spFQMYem20dqfjsrFUsoCQQ!2e0!7i16384!8i8192",-34.63302405,-58.46675459,x,,,
tte-gral-donato-alvarez-481-057-042-008,Tte. Gral. Donato Alvarez 481,"https://www.google.com/maps/@-34.6201458,-58.4565873,3a,90y,95.85h,112.54t/data=!3m7!1e1!3m5!1s28UWIIeSlk7WDMvAZDPyeQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-22.544031889893162%26panoid%3D28UWIIeSlk7WDMvAZDPyeQ%26yaw%3D95.8454527398492!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.62014432,-58.45620953,,,,
dr-av-ricardo-balbin-2442-039-059-003,Dr. Av. Ricardo Balbin 2442,"https://www.google.com/maps/@-34.5628317,-58.4660841,3a,90y,36.93h,98.91t/data=!3m7!1e1!3m5!1sc9xRblf3l_CkXFvEw-HcCQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-8.913664892232717%26panoid%3Dc9xRblf3l_CkXFvEw-HcCQ%26yaw%3D36.928865961145455!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.56269353,-58.465902,,,,
juan-b-av-justo-2323-031-022-028,Juan B. Av. Justo 2323,"https://www.google.com/maps/@-34.5932428,-58.4419857,3a,75y,328.94h,112.22t/data=!3m7!1e1!3m5!1s8uToCIXzognWRG-_ZaKKmg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-22.218134829941235%26panoid%3D8uToCIXzognWRG-_ZaKKmg%26yaw%3D328.9422285419854!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.59297411,-58.44221836,,,,
cordoba-av-6002-033-060-001,Cordoba Av. 6002,"https://www.google.com/maps/@-34.5846199,-58.4446964,3a,75y,271.36h,104.56t/data=!3m7!1e1!3m5!1sND_-oJqknHMETvcLU3EMSQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-14.56258731153001%26panoid%3DND_-oJqknHMETvcLU3EMSQ%26yaw%3D271.35744232576303!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.58462402,-58.44502771,,,,
campos-salles-2266-027-014-008,Campos Salles 2266,"https://www.google.com/maps/@-34.5514048,-58.4645817,3a,75y,112.84h,104.78t/data=!3m7!1e1!3m5!1squMXAHWhOQWGTlakIlyNHw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-14.776880825512038%26panoid%3DquMXAHWhOQWGTlakIlyNHw%26yaw%3D112.83803083705122!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.55148656,-58.4643831,,,,
bermudez-3623-089-036-013,Bermudez 3623,"https://www.google.com/maps/@-34.60839163538714,-58.52387112205228,3a,75y,54.68h,90t/data=!3m6!1e1!3m4!1stK04VmBZRjzTjRXBJX6osw!2e0!7i16384!8i8192",-34.60825385,-58.52363486,,,,
sendero-peatonal-sin-nombre-oficial-4368-066-105-001,Sendero Peatonal Sin Nombre Oficial 4368,"https://www.google.com/maps/@-34.67372995384723,-58.46095839687636,3a,75y,140.14h,90t/data=!3m6!1e1!3m4!1s7vFE7WVh_TGOelRwV9JRPw!2e0!7i16384!8i8192",-34.67393946,-58.46074567,x,,,
sendero-peatonal-sin-nombre-oficial-4367-066-104-001,Sendero Peatonal Sin Nombre Oficial 4367,"https://www.google.com/maps/@-34.67434263023489,-58.46120388112854,3a,75y,39.47h,90t/data=!3m6!1e1!3m4!1sdSES_fiHq1OeT10hRcPANQ!2e0!7i16384!8i8192",-34.67418973,-58.46105077,x,,,
sendero-peatonal-sin-nombre-oficial-4387-066-104-002,Sendero Peatonal Sin Nombre Oficial 4387,"https://www.google.com/maps/@-34.67447455266421,-58.46073312328858,3a,75y,320.7h,90t/data=!3m6!1e1!3m4!1sTAFN8qKHyH3JqC5EVRMr_Q!2e0!7i16384!8i8192",-34.67436028,-58.46084685,x,,,
calle-sin-nombre-oficial-4071-066-106-002,Calle Sin Nombre Oficial 4071,"https://www.google.com/maps/@-34.6740141319594,-58.46028754284616,3a,75y,16.24h,90t/data=!3m6!1e1!3m4!1szSj3dXLHzwNDoDWl7ryzyQ!2e0!7i16384!8i8192",-34.67386089,-58.46023325,x,,,
sendero-peatonal-sin-nombre-oficial-4376-066-096-002,Sendero Peatonal Sin Nombre Oficial 4376,"https://www.google.com/maps/@-34.67671669967385,-58.46334688170289,3a,75y,324.72h,90t/data=!3m6!1e1!3m4!1sKQFz2PfZHvzu4oWmexHe-A!2e0!7i16384!8i8192",-34.67653177,-58.46350595,x,,,
sendero-peatonal-sin-nombre-oficial-4365-066-102-001,Sendero Peatonal Sin Nombre Oficial 4365,"https://www.google.com/maps/@-34.67486515581143,-58.46183240335805,3a,75y,35.04h,90t/data=!3m6!1e1!3m4!1ssQ4tN2KUecsBvegca2SbnQ!2e0!7i16384!8i8192",-34.67473704,-58.46172315,x,,,
sendero-peatonal-sin-nombre-oficial-4356-066-096-001,Sendero Peatonal Sin Nombre Oficial 4356,"https://www.google.com/maps/@-34.67621947046224,-58.46391190878224,3a,75y,130.41h,90t/data=!3m6!1e1!3m4!1spm8h0QlgHeblkSPas7oZ6Q!2e0!7i16384!8i8192",-34.6763596,-58.4637118,x,,,
sendero-peatonal-sin-nombre-oficial-4384-066-102-002,Sendero Peatonal Sin Nombre Oficial 4384,"https://www.google.com/maps/@-34.67498807138603,-58.46167333420421,3a,75y,58.4h,90t/data=!3m6!1e1!3m4!1sLMM30eNjXXojQcawsyPoMA!2e0!7i16384!8i8192",-34.67490917,-58.46151739,x,,,
sendero-peatonal-sin-nombre-oficial-4366-066-103-001,Sendero Peatonal Sin Nombre Oficial 4366,"https://www.google.com/maps/@-34.67434263023489,-58.46120388112854,3a,75y,230.23h,90t/data=!3m6!1e1!3m4!1sdSES_fiHq1OeT10hRcPANQ!2e0!7i16384!8i8192",-34.6744881,-58.46141645,x,,,
sendero-peatonal-sin-nombre-oficial-4375-066-095-002,Sendero Peatonal Sin Nombre Oficial 4375,"https://www.google.com/maps/@-34.67691485305036,-58.46397611262159,3a,75y,44.97h,90t/data=!3m6!1e1!3m4!1sIBmfdBuKPbdHZhF3L67DKQ!2e0!7i16384!8i8192",-34.67678049,-58.4638129,x,,,
gral-av-f-fernandez-de-la-cruz-4805-066-097-002,Gral. Av. F. Fernandez de la Cruz 4805,"https://www.google.com/maps/@-34.676556,-58.4628463,3a,75y,312.34h,100.49t/data=!3m7!1e1!3m5!1sVY-egZohsG-kYwSjkNdc4Q!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-10.494519895070695%26panoid%3DVY-egZohsG-kYwSjkNdc4Q%26yaw%3D312.3397193960577!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.67628131,-58.46320111,,,,
sendero-peatonal-sin-nombre-oficial-4363-066-101-001,Sendero Peatonal Sin Nombre Oficial 4363,"https://www.google.com/maps/@-34.67486515581143,-58.46183240335805,3a,75y,232.83h,90t/data=!3m6!1e1!3m4!1ssQ4tN2KUecsBvegca2SbnQ!2e0!7i16384!8i8192",-34.6749873,-58.46202826,x,,,
sendero-peatonal-sin-nombre-oficial-4386-066-103-002,Sendero Peatonal Sin Nombre Oficial 4386,"https://www.google.com/maps/@-34.67473740441014,-58.46113523608236,3a,75y,321.08h,90t/data=!3m6!1e1!3m4!1seLlEeqtPvK3wutBrTD1d7g!2e0!7i16384!8i8192",-34.67465869,-58.46121254,x,,,
sendero-peatonal-sin-nombre-oficial-4383-066-101-002,Sendero Peatonal Sin Nombre Oficial 4383,"https://www.google.com/maps/@-34.67526711802724,-58.46166305482509,3a,75y,309.48h,90t/data=!3m6!1e1!3m4!1sivMeWPxhY-fBFeYEkg4cRA!2e0!7i16384!8i8192",-34.67515788,-58.46182431,x,,,
concepcion-leyes-de-chavez-4370-066-106-001,Concepción Leyes de Chávez 4370,"https://www.google.com/maps/@-34.67352137298383,-58.46072066617737,3a,75y,126.14h,90t/data=!3m6!1e1!3m4!1sNFWh_sLeMdF_yVKcjqTt7w!2e0!7i16384!8i8192",-34.67369053,-58.46043897,x,,,
miralla-4371-066-094-002,Miralla 4371,"https://www.google.com/maps/@-34.6772776,-58.4640775,3a,90y,336.4h,107.89t/data=!3m7!1e1!3m5!1sKQdKz2PVWa1ubXUqWfmBzA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-17.891071906586618%26panoid%3DKQdKz2PVWa1ubXUqWfmBzA%26yaw%3D336.39930680596524!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.67707889,-58.46417862,,,,
sendero-peatonal-sin-nombre-oficial-4355-066-095-001,Sendero Peatonal Sin Nombre Oficial 4355,"https://www.google.com/maps/@-34.67672515283527,-58.46419538163615,3a,75y,51.85h,90t/data=!3m6!1e1!3m4!1sr8IfYX3cEJC0naw-1uDVZA!2e0!7i16384!8i8192",-34.67660985,-58.46401692,x,,,
sendero-peatonal-sin-nombre-oficial-4358-066-097-001,Sendero Peatonal Sin Nombre Oficial 4358,"https://www.google.com/maps/@-34.67596795696355,-58.46359690105017,3a,75y,132.14h,90t/data=!3m6!1e1!3m4!1sR2DGbUqt1X2IBZgpI75xsA!2e0!7i16384!8i8192",-34.67611067,-58.46340509,x,,,
sendero-peatonal-sin-nombre-oficial-4388-066-105-002,Sendero Peatonal Sin Nombre Oficial 4388,"https://www.google.com/maps/@-34.67420150606056,-58.46038815763312,3a,75y,305.78h,90t/data=!3m6!1e1!3m4!1sTTGocTc7K7c-XPBlw53-hg!2e0!7i16384!8i8192",-34.67411155,-58.46053992,x,,,
echeverria-609-025-122-002,Echeverria 609,"https://www.google.com/maps/@-34.55184938841736,-58.43717732184837,3a,75y,320.7h,90t/data=!3m6!1e1!3m4!1sC314qpIG6CWZK3DT60aQ7g!2e0!7i16384!8i8192",-34.55152707,-58.43749758,,,,
francisco-acuna-de-figueroa-1277-019-003-015,Francisco Acuña de Figueroa 1277,"https://www.google.com/maps/@-34.5968185,-58.4215913,3a,90y,84.52h,108.22t/data=!3m7!1e1!3m5!1sGgcEhrBGrHQQbrFBJjRe2w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-18.216564054299596%26panoid%3DGgcEhrBGrHQQbrFBJjRe2w%26yaw%3D84.52036463278357!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",-34.59683193,-58.42133465,,,,
